,Año,Semestre,Aux_Sem,Comuna,Población,No. Muertes,No. Graves,No. Leves,THSV,THSV_1,PR_THSV,M. Moto,M. Moto_1,I. MOTO
12,2016,1,2016-1-1,1,213984.0,12.0,0.0,0.0,5.6078959174517715,0.0,0.0,4,0.0,0.0
13,2016,2,2016-1-2,1,214720.0,10.0,0.0,0.0,4.657228017883756,5.6078959174517715,-16.95230998509686,6,4.0,50.0
14,2017,1,2017-1-1,1,215456.0,13.0,0.0,0.0,6.033714540323778,4.657228017883756,29.55591860983217,3,6.0,-50.0
15,2017,2,2017-1-2,1,216192.0,7.0,0.0,0.0,3.2378626406157487,6.033714540323778,-46.3371589925764,1,3.0,-66.66666666666667
16,2018,1,2018-1-1,1,216928.5,9.0,0.0,0.0,4.148832449401531,3.2378626406157487,28.134912128716547,3,1.0,200.0
17,2018,2,2018-1-2,1,217665.0,11.0,0.0,0.0,5.053637470424735,4.148832449401531,21.80866622255913,6,3.0,100.0
18,2019,1,2019-1-1,1,218401.0,9.0,0.0,647.0,4.120860252471371,5.053637470424735,-18.457541195074445,4,6.0,-33.333333333333336
19,2019,2,2019-1-2,1,219137.0,3.0,0.0,585.0,1.3690066031751826,4.120860252471371,-66.77862098443745,2,4.0,-50.0
20,2020,1,2020-1-1,1,219873.0,5.0,14.0,358.0,2.2740400140080865,1.3690066031751826,66.10876884989669,2,2.0,0.0
21,2020,2,2020-1-2,1,220609.0,5.0,7.0,306.0,2.266453317861012,2.2740400140080865,-0.33362192838914334,1,2.0,-50.0
22,2021,1,2021-1-1,1,221345.5,3.0,12.0,346.0,1.355347183475607,2.266453317861012,-40.19964264012596,2,1.0,100.0
23,2021,2,2021-1-2,1,222082.0,6.0,19.0,544.0,2.701704775713475,1.355347183475607,99.33673147756235,2,2.0,0.0
38,2016,1,2016-2-1,2,159633.5,1.0,0.0,0.0,0.626434927505818,0.0,0.0,1,0.0,0.0
39,2016,2,2016-2-2,2,159788.0,0.0,0.0,0.0,0.0,0.626434927505818,-100.0,0,1.0,-100.0
40,2017,1,2017-2-1,2,159943.0,3.0,0.0,0.0,1.875668206798672,0.0,0.0,0,0.0,
41,2017,2,2017-2-2,2,160098.0,3.0,0.0,0.0,1.873852265487389,1.875668206798672,-0.09681570038351456,1,0.0,0.0
42,2018,1,2018-2-1,2,160252.5,4.0,0.0,0.0,2.496060903886055,1.873852265487389,33.204786196783196,0,1.0,-100.0
43,2018,2,2018-2-2,2,160407.0,3.0,0.0,0.0,1.870242570461389,2.496060903886055,-25.072238119284066,0,0.0,
44,2019,1,2019-2-1,2,160562.0,2.0,0.0,236.0,1.2456247430898968,1.870242570461389,-33.39769061172631,1,0.0,0.0
45,2019,2,2019-2-2,2,160717.0,0.0,0.0,225.0,0.0,1.2456247430898968,-100.0,0,1.0,-100.0
46,2020,1,2020-2-1,2,160871.5,2.0,3.0,109.0,1.2432282909029877,0.0,0.0,1,0.0,0.0
47,2020,2,2020-2-2,2,161026.0,3.0,3.0,97.0,1.8630531715375156,1.2432282909029877,49.856079142498736,1,1.0,0.0
48,2021,1,2021-2-1,2,161181.0,1.0,4.0,139.0,0.6204205210291536,1.8630531715375156,-66.69872172691983,0,1.0,-100.0
49,2021,2,2021-2-2,2,161336.0,3.0,3.0,177.0,1.8594733971339314,0.6204205210291536,199.71178162344418,0,0.0,
64,2016,1,2016-3-1,3,191525.5,4.0,0.0,0.0,2.0884947435197923,0.0,0.0,3,0.0,0.0
65,2016,2,2016-3-2,3,191888.0,4.0,0.0,0.0,2.0845493204369214,2.0884947435197923,-0.18891228216459405,2,3.0,-33.333333333333336
66,2017,1,2017-3-1,3,192251.0,3.0,0.0,0.0,1.5604600236149617,2.0845493204369214,-25.141611747143052,2,2.0,0.0
67,2017,2,2017-3-2,3,192614.0,3.0,0.0,0.0,1.5575191834446094,1.5604600236149617,-0.1884598211968028,1,2.0,-50.0
68,2018,1,2018-3-1,3,192976.5,6.0,0.0,0.0,3.1091868699038483,1.5575191834446094,99.62430658655329,4,1.0,300.0
69,2018,2,2018-3-2,3,193339.0,6.0,0.0,0.0,3.1033573153890313,3.1091868699038483,-0.18749450447143165,3,4.0,-25.0
70,2019,1,2019-3-1,3,193701.5,2.0,0.0,414.0,1.032516526717656,3.1033573153890313,-66.72904787348918,1,3.0,-66.66666666666667
71,2019,2,2019-3-2,3,194064.0,0.0,0.0,407.0,0.0,1.032516526717656,-100.0,0,1.0,-100.0
72,2020,1,2020-3-1,3,194427.0,6.0,6.0,228.0,3.085991143205419,0.0,0.0,1,0.0,0.0
73,2020,2,2020-3-2,3,194790.0,4.0,2.0,281.0,2.053493505826788,3.085991143205419,-33.45756969043585,0,1.0,-100.0
74,2021,1,2021-3-1,3,195152.5,3.0,3.0,255.0,1.5372593228372684,2.053493505826788,-25.139314126132128,2,0.0,0.0
75,2021,2,2021-3-2,3,195515.0,5.0,12.0,349.0,2.557348541032657,1.5372593228372684,66.35765371795853,1,2.0,-50.0
90,2016,1,2016-4-1,4,223284.0,7.0,0.0,0.0,3.1350208702817937,0.0,0.0,4,0.0,0.0
91,2016,2,2016-4-2,4,223742.0,9.0,0.0,0.0,4.022490189593371,3.1350208702817937,28.308242784738024,3,4.0,-25.0
92,2017,1,2017-4-1,4,224200.5,8.0,0.0,0.0,3.5682346827950875,4.022490189593371,-11.292892844673498,2,3.0,-33.333333333333336
93,2017,2,2017-4-2,4,224659.0,9.0,0.0,0.0,4.006071423802296,3.5682346827950875,12.270402031523327,2,2.0,0.0
94,2018,1,2018-4-1,4,225117.0,12.0,0.0,0.0,5.330561441383813,4.006071423802296,33.06206698442735,6,2.0,200.0
95,2018,2,2018-4-2,4,225575.0,5.0,0.0,0.0,2.216557685913776,5.330561441383813,-58.417931951679044,2,6.0,-66.66666666666667
96,2019,1,2019-4-1,4,226033.0,3.0,0.0,463.0,1.327239827812753,2.216557685913776,-40.12157516822764,2,2.0,0.0
97,2019,2,2019-4-2,4,226491.0,9.0,0.0,401.0,3.9736678278607096,1.327239827812753,199.39335337827993,4,2.0,100.0
98,2020,1,2020-4-1,4,226949.5,1.0,7.0,251.0,0.44062665923476374,3.9736678278607096,-88.91133636925102,0,4.0,-100.0
99,2020,2,2020-4-2,4,227408.0,3.0,3.0,311.0,1.3192148033490467,0.44062665923476374,199.39514001266443,0,0.0,
100,2021,1,2021-4-1,4,227866.0,9.0,13.0,263.0,3.9496897299289935,1.3192148033490467,199.39701403456417,6,0.0,0.0
101,2021,2,2021-4-2,4,228324.0,4.0,12.0,410.0,1.7518964278831837,3.9496897299289935,-55.64470761821894,1,6.0,-83.33333333333333
