id,fecha,hora,comuna,tipo_calle,longitud,latitud,victima,acusado
LC-2019-0000179,2019-01-01,09:00:00,14,SD,-58.408911,-34.559658,BICICLETA,SD
LC-2019-0000053,2019-01-01,01:55:00,8,SD,-58.44351,-34.669125,AUTO,SD
LC-2019-0000063,2019-01-01,02:00:00,8,SD,-58.468335,-34.677556,SD,SD
LC-2019-0000079,2019-01-01,02:30:00,7,SD,-58.437425,-34.647349,PEATON,SD
LC-2019-0000082,2019-01-01,04:30:00,3,SD,-58.398225,-34.604579,AUTO,SD
LC-2019-0000136,2019-01-01,08:05:00,15,SD,-58.439392,-34.588108,MOTO,SD
LC-2019-0000142,2019-01-01,07:30:00,11,SD,-58.519116,-34.589282,MOTO,SD
LC-2019-0000194,2019-01-01,07:15:00,9,SD,-58.528413,-34.650156,AUTO,SD
LC-2019-0000202,2019-01-01,09:36:00,1,SD,-58.371488,-34.598416,MOTO,SD
LC-2019-0000329,2019-01-01,12:24:00,4,SD,-58.404748,-34.648387,AUTO,SD
LC-2019-0000347,2019-01-01,12:02:00,7,SD,-58.442125,-34.649498,AUTO,SD
LC-2019-0000445,2019-01-01,13:40:00,11,SD,-58.524662,-34.603255,AUTO,SD
LC-2019-0000493,2019-01-01,13:00:00,4,SD,-58.376137,-34.651461,SD,SD
LC-2019-0000600,2019-01-01,19:46:00,1,SD,-58.374154,-34.591108,SD,SD
LC-2019-0000636,2019-01-01,18:30:00,9,SD,-58.505709,-34.654463,AUTO,SD
LC-2019-0000647,2019-01-01,18:50:00,12,SD,-58.490436,-34.583403,MOTO,SD
LC-2019-0000686,2019-01-01,21:46:00,9,SD,-58.512313,-34.661307,AUTO,SD
LC-2019-0005235,2019-01-01,03:00:00,2,SD,-58.399038,-34.598285,SD,SD
LC-2019-0002218,2019-01-02,15:27:00,1,SD,-58.373748,-34.604635,BICICLETA,SD
LC-2019-0000928,2019-01-02,07:01:00,5,SD,inf,inf,MOTO,SD
LC-2019-0000963,2019-01-02,08:30:00,6,SD,-58.447266,-34.622984,PASAJEROS,SD
LC-2019-0001754,2019-01-02,12:00:00,5,SD,-58.415098,-34.620858,AUTO,SD
LC-2019-0001879,2019-01-02,13:22:00,1,SD,-58.37226,-34.596132,SD,SD
LC-2019-0001948,2019-01-02,12:32:00,14,SD,-58.448666,-34.567927,PEATON,SD
LC-2019-0001987,2019-01-02,13:57:00,13,SD,-58.468124,-34.552719,MOTO,SD
LC-2019-0001992,2019-01-02,14:09:00,1,SD,-58.37226,-34.596132,MOTO,SD
LC-2019-0002083,2019-01-02,05:15:00,13,SD,-58.474535,-34.53838,SD,SD
LC-2019-0002208,2019-01-02,15:18:00,4,SD,-58.398009,-34.638178,SD,SD
LC-2019-0002740,2019-01-02,17:14:00,8,SD,-58.464704,-34.690814,SD,SD
LC-2019-0003220,2019-01-02,19:50:00,3,SD,-58.39338,-34.609275,SD,SD
LC-2019-0003340,2019-01-02,23:29:00,1,SD,-58.370261,-34.606522,SD,SD
LC-2019-0005610,2019-01-02,07:15:00,1,SD,-58.373281,-34.590127,AUTO,SD
LC-2019-0020183,2019-01-02,15:30:00,11,SD,-58.461782,-34.612442,SD,SD
LC-2019-0022496,2019-01-02,10:00:00,4,SD,inf,inf,SD,SD
LC-2019-0003428,2019-01-03,02:05:00,1,SD,-58.370261,-34.606522,MOTO,SD
LC-2019-0003432,2019-01-03,02:08:00,4,SD,-58.370256,-34.633619,SD,SD
LC-2019-0003642,2019-01-03,08:47:00,4,SD,-58.389014,-34.651172,SD,SD
LC-2019-0003787,2019-01-03,16:00:00,10,SD,-58.516946,-34.620214,SD,SD
LC-2019-0003862,2019-01-03,09:10:00,14,SD,-58.420172,-34.587788,SD,SD
LC-2019-0003884,2019-01-03,09:50:00,1,SD,-58.374037,-34.624434,SD,SD
LC-2019-0004144,2019-01-03,11:51:00,13,SD,-58.458802,-34.572009,SD,SD
LC-2019-0004229,2019-01-03,12:14:00,2,SD,-58.409433,-34.598087,SD,SD
LC-2019-0004442,2019-01-03,11:00:00,12,SD,-58.471429,-34.560095,SD,SD
LC-2019-0004565,2019-01-03,13:44:00,10,SD,-58.502861,-34.634383,SD,SD
LC-2019-0004621,2019-01-03,13:20:00,3,SD,-58.402885,-34.61544,MOTO,SD
LC-2019-0004622,2019-01-03,14:02:00,12,SD,-58.49491,-34.547957,AUTO,SD
LC-2019-0004652,2019-01-03,14:18:00,15,SD,-58.455131,-34.605272,SD,SD
LC-2019-0004717,2019-01-03,12:38:00,12,SD,-58.480138,-34.556424,SD,SD
LC-2019-0004718,2019-01-03,12:40:00,4,SD,-58.403486,-34.648017,SD,SD
LC-2019-0005334,2019-01-03,16:30:00,9,SD,-58.514805,-34.66058,SD,SD
LC-2019-0005614,2019-01-03,11:00:00,3,SD,-58.411121,-34.606091,SD,SD
LC-2019-0005622,2019-01-03,18:00:00,9,SD,-58.5013,-34.650495,SD,SD
LC-2019-0005638,2019-01-03,19:00:00,5,SD,-58.419078,-34.637644,SD,SD
LC-2019-0005647,2019-01-03,19:34:00,1,SD,-58.38184,-34.596726,SD,SD
LC-2019-0005681,2019-01-03,18:20:00,12,SD,-58.473539,-34.543295,MOTO,SD
LC-2019-0005764,2019-01-03,20:28:00,15,SD,-58.495341,-34.591985,PEATON,SD
LC-2019-0005815,2019-01-03,20:00:00,10,SD,-58.486064,-34.640477,MOTO,SD
LC-2019-0005979,2019-01-03,21:50:00,7,SD,-58.4585,-34.615899,MOTO,SD
LC-2019-0007021,2019-01-04,10:20:00,13,SD,-58.44917,-34.56181,BICICLETA,SD
LC-2019-0007536,2019-01-04,13:40:00,12,SD,-58.505206,-34.567724,BICICLETA,SD
LC-2019-0006068,2019-01-04,02:49:00,3,SD,-58.39763,-34.617325,MOTO,SD
LC-2019-0006306,2019-01-04,08:00:00,3,SD,-58.409257,-34.620021,MOTO,SD
LC-2019-0006547,2019-01-04,02:00:00,9,SD,-58.500852,-34.673463,PEATON,SD
LC-2019-0006638,2019-01-04,09:45:00,10,SD,-58.496239,-34.636075,MOTO,SD
LC-2019-0006659,2019-01-04,09:20:00,12,SD,-58.512465,-34.584012,AUTO,SD
LC-2019-0006789,2019-01-04,11:31:00,13,SD,-58.440762,-34.551161,SD,SD
LC-2019-0006837,2019-01-04,10:15:00,1,SD,-58.371576,-34.619382,PEATON,SD
LC-2019-0006857,2019-01-04,09:30:00,12,SD,-58.50378,-34.573907,PEATON,SD
LC-2019-0007002,2019-01-04,11:45:00,9,SD,-58.498813,-34.657353,SD,SD
LC-2019-0007187,2019-01-04,12:19:00,11,SD,-58.486836,-34.611405,MOTO,SD
LC-2019-0007294,2019-01-04,12:30:00,15,SD,-58.467221,-34.579471,MOTO,SD
LC-2019-0007336,2019-01-04,14:34:00,9,SD,-58.469778,-34.649672,AUTO,SD
LC-2019-0007634,2019-01-04,14:50:00,SD,SD,inf,inf,MOTO,SD
LC-2019-0007660,2019-01-04,15:20:00,6,SD,-58.432988,-34.620044,MOTO,SD
LC-2019-0007701,2019-01-04,16:44:00,4,SD,-58.3743,-34.640305,MOTO,SD
LC-2019-0007778,2019-01-04,17:11:00,9,SD,-58.514654,-34.64153,PEATON,SD
LC-2019-0008077,2019-01-04,16:00:00,15,SD,-58.477241,-34.595179,MOTO,SD
LC-2019-0008227,2019-01-04,19:21:00,5,SD,-58.413443,-34.626664,AUTO,SD
